movie_year	title	released	key_omdb
1933	a bedtime story	22-Apr-33	o0
1933	a lady's profession	3-Mar-33	o1
1933	a preferred list	6-Oct-33	o2
1933	a shriek in the night	22-Jul-33	o3
1933	advice to the lovelorn	1-Dec-33	o4
1933	after tonight	10-Nov-33	o5
1933	aggie appleby maker of men	3-Nov-33	o6
1933	ann carver's profession	9-Jun-33	o7
1933	another language	28-Jul-33	o8
1933	antique antics	14-Jun-33	o9
1933	arizona to broadway	22-Jul-33	o10
1933	beauty for sale	1-Sep-33	o11
1933	bedtime worries	9-Sep-33	o12
1933	beer and pretzels	26-Aug-33	o13
1933	before morning	19-Oct-33	o14
1933	below the sea	29-Mar-33	o15
1933	betty boop's big boss	2-Jun-33	o16
1933	betty boop's birthday party	21-Apr-33	o17
1933	betty boop's crazy inventions	27-Jan-33	o18
1933	betty boop's hallowe'en party	3-Nov-33	o19
1933	betty boop's ker-choo	6-Jan-33	o20
1933	betty boop's may party	12-May-33	o21
1933	betty boop's penthouse	10-Mar-33	o22
1933	big executive	19-Oct-33	o23
1933	birds in the spring	11-Mar-33	o24
1933	blind adventure	18-Aug-33	o25
1933	blondie johnson	25-Feb-33	o26
1933	blow me down!	27-Oct-33	o27
1933	blue of the night	6-Jan-33	o28
1933	boilesk	9-Jun-33	o29
1933	bosko in person	11-Feb-33	o30
1933	bosko the musketeer	12-Aug-33	o31
1933	bosko's knight-mare	8-Jun-33	o32
1933	bosko's picture show	26-Aug-33	o33
1933	broadway bad	24-Feb-33	o34
1933	buddy's beer garden	11-Nov-33	o35
1933	buddy's day out	9-Sep-33	o36
1933	buddy's show boat	9-Dec-33	o37
1933	building a building	7-Jan-33	o38
1933	bureau of missing persons	16-Sep-33	o39
1933	busy bodies	7-Oct-33	o40
1933	by candlelight	18-Dec-33	o41
1933	captured!	19-Aug-33	o42
1933	chance at heaven	27-Oct-33	o43
1933	charlie chan's greatest case	15-Sep-33	o44
1933	christopher bean	17-Nov-33	o45
1933	christopher strong	31-Mar-33	o46
1933	clancy of the mounted	27-Feb-33	o47
1933	clear all wires!	24-Feb-33	o48
1933	close relations	30-Sep-33	o49
1933	college coach	4-Nov-33	o50
1933	convention city	14-Dec-33	o51
1933	counsellor at law	25-Dec-33	o52
1933	curtain at eight	1-Oct-33	o53
1933	dancing lady	24-Nov-33	o54
1933	diamond trail	23-Apr-33	o55
1933	diplomaniacs	12-May-33	o56
1933	disgraced	7-Jul-33	o57
1933	doctor bull	22-Sep-33	o58
1933	don't bet on love	1-Jul-33	o59
1933	dora's dunking doughnuts	1-Sep-33	o60
1933	double harness	21-Jul-33	o61
1933	"elmer, the great"	29-Apr-33	o62
1933	employees' entrance	11-Feb-33	o63
1933	ever in my heart	28-Oct-33	o64
1933	ex-lady	15-May-33	o65
1933	face in the sky	15-Jan-33	o66
1933	fast workers	10-Mar-33	o67
1933	father noah's ark	8-Apr-33	o68
1933	fighting with kit carson	1-Jul-33	o69
1933	fish hooky	28-Jan-33	o70
1933	five and dime	18-Sep-33	o71
1933	flying devils	14-Jul-33	o72
1933	flying down to rio	29-Dec-33	o73
1933	footlight parade	21-Oct-33	o74
1933	forgotten babies	11-Mar-33	o75
1933	from headquarters	16-Nov-33	o76
1933	from hell to heaven	24-Feb-33	o77
1933	gabriel over the white house	31-Mar-33	o78
1933	galloping romeo	5-Aug-33	o79
1933	gambling ship	23-Jun-33	o80
1933	get that venus	1-Sep-33	o81
1933	giantland	25-Nov-33	o82
1933	girl missing	4-Mar-33	o83
1933	girl without a room	8-Dec-33	o84
1933	give a man a job	9-Sep-33	o85
1933	going hollywood	22-Dec-33	o86
1933	going to blazes	10-Apr-33	o87
1933	gold diggers of 1933	27-May-33	o88
1933	goldie gets along	27-Jan-33	o89
1933	gordon of ghost city	14-Aug-33	o90
1933	gun justice	11-Dec-33	o91
1933	ham and eggs	19-Jun-33	o92
1933	havana widows	18-Nov-33	o93
1933	headline shooter	28-Jul-33	o94
1933	hell below	9-Jun-33	o95
1933	hello pop	16-Sep-33	o96
1933	"hello, everybody!"	17-Feb-33	o97
1933	"hello, sister!"	14-Apr-33	o98
1933	her bodyguard	21-Jul-33	o99
1933	her first mate	3-Aug-33	o100
1933	his double life	12-Jan-34	o101
1933	his private secretary	10-Jun-33	o102
1933	hold your man	7-Jul-33	o103
1933	hollywood on parade no. a-8	10-Mar-33	o104
1933	hoop-la	30-Nov-33	o105
1933	horse play	1-Jun-33	o106
1933	how've you bean?	24-Jun-33	o107
1933	i am suzanne!	25-Dec-33	o108
1933	i cover the waterfront	19-May-33	o109
1933	i have lived	15-Jun-33	o110
1933	i love that man	8-Jul-33	o111
1933	i loved you wednesday	16-Jun-33	o112
1933	i'm no angel	6-Oct-33	o113
1933	i've got to sing a torch song	23-Sep-33	o114
1933	if i were free	1-Dec-33	o115
1933	is my palm read	17-Feb-33	o116
1933	jimmy and sally	24-Nov-33	o117
1933	king klunk	4-Sep-33	o118
1933	king for a night	9-Jan-34	o119
1933	king of the arena	1-Jun-33	o120
1933	kiss of araby	21-Apr-33	o121
1933	krazy spooks	5-Oct-33	o122
1933	ladies must love	25-Sep-33	o123
1933	ladies they talk about	4-Feb-33	o124
1933	lady for a day	13-Sep-33	o125
1933	laughing at life	12-Jul-33	o126
1933	laughter in hell	12-Jan-33	o127
1933	life in the raw	7-Jul-33	o128
1933	lilly turner	13-May-33	o129
1933	lot in sodom	25-Dec-33	o130
1933	made on broadway	19-May-33	o131
1933	man of the forest	25-Aug-33	o132
1933	man's castle	4-Nov-33	o133
1933	"mary stevens, m.d."	22-Jul-33	o134
1933	meet the baron	20-Oct-33	o135
1933	men must fight	17-Feb-33	o136
1933	merry dog	2-Jan-33	o137
1933	mickey's big broadcast	6-Jun-33	o138
1933	mickey's covered wagon	30-Nov-33	o139
1933	mickey's disguises	17-Jul-33	o140
1933	mickey's gala premier	1-Jul-33	o141
1933	mickey's mechanical man	17-Jun-33	o142
1933	mickey's mellerdrammer	18-Mar-33	o143
1933	mickey's tent show	27-Oct-33	o144
1933	mickey's touchdown	14-Oct-33	o145
1933	midnight mary	30-Jun-33	o146
1933	midshipman jack	22-Sep-33	o147
1933	mister mugg	10-May-33	o148
1933	moonlight and pretzels	1-Aug-33	o149
1933	mother goose land	23-Jun-33	o150
1933	mr. skitch	22-Dec-33	o151
1933	murder on the campus	27-Dec-33	o152
1933	murders in the zoo	31-Mar-33	o153
1933	mush and milk	27-May-33	o154
1933	my lips betray	4-Nov-33	o155
1933	my woman	5-Oct-33	o156
1933	mystery of the wax museum	18-Feb-33	o157
1933	nertsery rhymes	6-Jul-33	o158
1933	night of terror	24-Apr-33	o159
1933	no marriage ties	11-Aug-33	o160
1933	olsen's big moment	9-Jan-33	o161
1933	one man's journey	8-Sep-33	o162
1933	one sunday afternoon	1-Sep-33	o163
1933	our betters	17-Mar-33	o164
1933	out of the ether	1-Sep-33	o165
1933	parachute jumper	28-Jan-33	o166
1933	parole girl	4-Mar-33	o167
1933	phantom thunderbolt	5-Mar-33	o168
1933	picture snatcher	6-May-33	o169
1933	pin feathers	3-Jul-33	o170
1933	plane nuts	14-Oct-33	o171
1933	pleasure cruise	1-Apr-33	o172
1933	private detective 62	10-Jun-33	o173
1933	private jones	25-Mar-33	o174
1933	professional sweetheart	9-Jun-33	o175
1933	rafter romance	1-Sep-33	o176
1933	reunion in vienna	16-Jun-33	o177
1933	riders of destiny	10-Oct-33	o178
1933	rufus jones for president	9-Sep-33	o179
1933	rustlers' roundup	16-Mar-33	o180
1933	rusty rides alone	26-May-33	o181
1933	sagebrush trail	15-Dec-33	o182
1933	sailor be good	7-Mar-33	o183
1933	sailor's luck	17-Mar-33	o184
1933	saturday's millions	1-Oct-33	o185
1933	scarlet river	10-Mar-33	o186
1933	seasin's greetinks!	17-Dec-33	o187
1933	second hand wife	1-Jan-33	o188
1933	secret of the blue room	20-Jul-33	o189
1933	shanghai madness	4-Aug-33	o190
1933	she done him right	9-Oct-33	o191
1933	she done him wrong	9-Feb-33	o192
1933	she had to say yes	15-Jul-33	o193
1933	should ladies behave	1-Dec-33	o194
1933	silent men	3-Mar-33	o195
1933	silvery moon	13-Jan-33	o196
1933	sing sinner sing	17-Aug-33	o197
1933	"sing, bing, sing"	24-Mar-33	o198
1933	smoke lightning	17-Feb-33	o199
1933	so this is africa	22-Apr-33	o200
1933	so this is harris!	13-Aug-33	o201
1933	soldiers of the storm	4-Apr-33	o202
1933	somewhere in sonora	27-May-33	o203
1933	son of the border	5-May-33	o204
1933	song of the eagle	28-Apr-33	o205
1933	sons of the desert	29-Dec-33	o206
1933	storm at daybreak	14-Jul-33	o207
1933	strange people	17-Jun-33	o208
1933	sucker money	1-Mar-33	o209
1933	sunset pass	26-May-33	o210
1933	sweepings	14-Apr-33	o211
1933	tarzan the fearless	11-Aug-33	o212
1933	terror aboard	14-Apr-33	o213
1933	the barber shop	28-Jul-33	o214
1933	the big cage	1-May-33	o215
1933	the bill poster	25-Nov-33	o216
1933	the bitter tea of general yen	6-Jan-33	o217
1933	the cheyenne kid	20-Jan-33	o218
1933	the circus queen murder	10-Apr-33	o219
1933	the cohens and kellys in trouble	15-Apr-33	o220
1933	the constant woman	13-Mar-33	o221
1933	the devil's brother	5-May-33	o222
1933	the devil's in love	21-Jul-33	o223
1933	the dude bandit	6-Apr-33	o224
1933	the gay nighties	23-Jun-33	o225
1933	the girl in 419	26-May-33	o226
1933	the great jasper	3-Mar-33	o227
1933	the house on 56th street	23-Dec-33	o228
1933	the keyhole	25-Mar-33	o229
1933	the kid from borneo	15-Apr-33	o230
1933	the king's vacation	25-Feb-33	o231
1933	the kiss before the mirror	4-May-33	o232
1933	the last trail	25-Aug-33	o233
1933	the life of jimmy dolan	3-Jun-33	o234
1933	the lumber champ	13-Mar-33	o235
1933	the mad game	27-Oct-33	o236
1933	the man from monterey	15-Jul-33	o237
1933	the mayor of hell	24-Jun-33	o238
1933	the merry old soul	27-Nov-33	o239
1933	the midnight patrol	3-Aug-33	o240
1933	the mind reader	1-Apr-33	o241
1933	the mystery squadron	22-Dec-33	o242
1933	the past of mary holmes	20-Jan-33	o243
1933	the phantom of the air	22-May-33	o244
1933	the prizefighter and the lady	10-Nov-33	o245
1933	the return of casey jones	25-May-33	o246
1933	the right to romance	17-Nov-33	o247
1933	the secret of madame blanche	3-Feb-33	o248
1933	the shanty where santy claus lives	7-Jan-33	o249
1933	the shriek	27-Feb-33	o250
1933	the silk express	10-Jun-33	o251
1933	the sin of nora moran	13-Dec-33	o252
1933	the solitaire man	22-Sep-33	o253
1933	the son of kong	22-Dec-33	o254
1933	the story of temple drake	1-Dec-33	o255
1933	the stranger's return	28-Jul-33	o256
1933	the telegraph trail	18-Mar-33	o257
1933	the thrill hunter	30-Apr-33	o258
1933	the thundering herd	1-Mar-33	o259
1933	the vampire bat	21-Jan-33	o260
1933	the warrior's husband	28-Apr-33	o261
1933	the way to love	20-Oct-33	o262
1933	the whispering shadow	18-Apr-33	o263
1933	the wolf dog	30-Sep-33	o264
1933	the woman accused	17-Feb-33	o265
1933	the women in his life	8-Dec-33	o266
1933	the working man	20-Apr-33	o267
1933	the world changes	25-Nov-33	o268
1933	the world gone mad	15-Apr-33	o269
1933	the worst woman in paris?	3-Dec-33	o270
1933	three cornered moon	8-Aug-33	o271
1933	tillie and gus	13-Oct-33	o272
1933	today we live	14-Apr-33	o273
1933	tomalio	30-Dec-33	o274
1933	tomorrow at seven	2-Jun-33	o275
1933	tonight is ours	21-Jan-33	o276
1933	too much harmony	23-Sep-33	o277
1933	torch singer	8-Sep-33	o278
1933	trick for trick	21-Apr-33	o279
1933	tugboat annie	4-Aug-33	o280
1933	twice two	1-Feb-33	o281
1933	wake up the gypsy in me	13-May-33	o282
1933	walls of gold	21-Oct-33	o283
1933	what price innocence?	24-Jun-33	o284
1933	white woman	10-Nov-33	o285
1933	wild boys of the road	7-Oct-33	o286
1933	wild poses	28-Oct-33	o287
1933	ye olden days	8-Apr-33	o288
1933	zoo in budapest	28-Apr-33	o289
1944	3 men in white	25-Jan-46	o290
1944	a fig leaf for eve	4-Jul-44	o291
1944	a lecture on camouflage	1-Apr-44	o292
1944	a night of adventure	9-Jun-44	o293
1944	"a wave, a wac and a marine"	7-Oct-44	o294
1944	abroad with two yanks	4-Aug-44	o295
1944	action in arabia	6-Jul-44	o296
1944	adventure in music	20-Apr-44	o297
1944	allergic to love	21-Jul-44	o298
1944	an american romance	16-Apr-45	o299
1944	and the angels sing	25-Apr-44	o300
1944	andy hardy's blonde trouble	21-May-45	o301
1944	are these our parents?	27-Jun-44	o302
1944	arizona whirlwind	21-Feb-44	o303
1944	at land	11-Oct-03	o304
1944	attack in the pacific		o305
1944	babes on swing street	27-Oct-44	o306
1944	barbary coast gent	1-Sep-44	o307
1944	bathing beauty	1-Jul-44	o308
1944	beautiful but broke	28-Jan-44	o309
1944	beneath western skies	3-Mar-44	o310
1944	bermuda mystery	1-May-44	o311
1944	birdy and the beast	19-Aug-44	o312
1944	block busters	22-Jul-44	o313
1944	blonde fever	5-Dec-44	o314
1944	boogie-woogie dream		o315
1944	bordertown trail	11-Aug-44	o316
1944	boss of boomtown	21-May-44	o317
1944	bowery champs	25-Nov-44	o318
1944	bowery to broadway	3-Nov-44	o319
1944	brand of the devil	30-Jul-44	o320
1944	bride by mistake	27-Jul-44	o321
1944	broadway rhythm	19-Jan-44	o322
1944	brother brat	15-Jul-44	o323
1944	buckaroo bugs	26-Aug-44	o324
1944	bugs bunny nips the nips	22-Apr-44	o325
1944	bugs bunny and the three bears	26-Feb-44	o326
1944	call of the jungle	29-Jul-44	o327
1944	call of the rockies	14-Jul-44	o328
1944	call of the south seas	7-Apr-44	o329
1944	can't help singing	29-Dec-44	o330
1944	carmen's veranda	28-Jul-44	o331
1944	casanova brown	14-Sep-44	o332
1944	casanova in burlesque	19-Feb-44	o333
1944	charlie chan in the chinese cat	20-May-44	o334
1944	charlie chan in the secret service	14-Feb-44	o335
1944	cheyenne wildcat	30-Sep-44	o336
1944	chip off the old block	1-Feb-44	o337
1944	christmas holiday	30-Jun-44	o338
1944	cobra woman	12-May-44	o339
1944	code of the prairie	6-Oct-44	o340
1944	commando duck	2-Jun-44	o341
1944	cowboy canteen	8-Feb-44	o342
1944	cowboy and the senorita	13-May-44	o343
1944	crash goes the hash	4-Feb-44	o344
1944	crazy knights	8-Dec-44	o345
1944	crime by night	9-Sep-44	o346
1944	dancing romeo	29-Apr-44	o347
1944	dangerous passage	18-Dec-44	o348
1944	dead man's eyes	10-Nov-44	o349
1944	delinquent daughters	15-Jul-44	o350
1944	detective kitty o'day	13-May-44	o351
1944	dixie jamboree	15-Aug-44	o352
1944	donald duck and the gorilla	31-Mar-44	o353
1944	duck soup to nuts	27-May-44	o354
1944	enemy of women	10-Nov-44	o355
1944	experiment perilous	18-Dec-44	o356
1944	faces in the fog	30-Nov-44	o357
1944	firebrands of arizona	1-Dec-44	o358
1944	follow the boys	5-May-44	o359
1944	four jills in a jeep	17-Mar-44	o360
1944	frontier outlaws	4-Mar-44	o361
1944	fuzzy settles down	25-Jun-44	o362
1944	gambler's choice	27-Apr-44	o363
1944	gangsters of the frontier	22-Sep-44	o364
1944	gents without cents	22-Sep-44	o365
1944	ghost catchers	16-Jun-44	o366
1944	gildersleeve's ghost	1-Jun-44	o367
1944	girl rush	21-Oct-44	o368
1944	going my way	2-Oct-44	o369
1944	guest in the house	8-Dec-44	o370
1944	gun to gun	8-Jan-44	o371
1944	guns of the law	31-Mar-44	o372
1944	gypsy wildcat	2-Aug-44	o373
1944	hail the conquering hero		o374
1944	hands across the border	5-Jan-44	o375
1944	hare force	22-Jul-44	o376
1944	hare ribbin'	24-Jun-44	o377
1944	hat check honey	10-Mar-44	o378
1944	haunted harbor	26-Aug-44	o379
1944	heavenly days	20-Oct-44	o380
1944	hell-bent for election		o381
1944	henry aldrich plays cupid	1-Apr-44	o382
1944	henry aldrich's little secret	10-Jun-44	o383
1944	"henry aldrich, boy scout"	13-Jan-44	o384
1944	here come the waves	18-Dec-44	o385
1944	hidden valley outlaws	2-Apr-44	o386
1944	home in indiana	1-Jul-44	o387
1944	hot rhythm	22-Apr-44	o388
1944	how to play golf	10-Mar-44	o389
1944	hymn of the nations		o390
1944	i accuse my parents	4-Nov-44	o391
1944	i love a soldier	12-Jul-45	o392
1944	i won't play	11-Nov-44	o393
1944	i'm from arkansas	31-Oct-44	o394
1944	in society	18-Aug-44	o395
1944	"in the meantime, darling"	22-Sep-44	o396
1944	irish eyes are smiling	30-Aug-45	o397
1944	it happened tomorrow	25-Feb-44	o398
1944	it's your war too	20-Apr-44	o399
1944	jungle woman	1-Jun-44	o400
1944	kansas city kitty	24-Aug-44	o401
1944	ladies courageous	1-Feb-44	o402
1944	ladies of washington	25-May-44	o403
1944	lady in the death house	15-Mar-44	o404
1944	"lady, let's dance"	11-Apr-44	o405
1944	lake placid serenade	23-Dec-44	o406
1944	law men	25-Apr-44	o407
1944	leave it to the irish	26-Aug-44	o408
1944	lights of old santa fe	6-Nov-44	o409
1944	little red riding rabbit	4-Jan-44	o410
1944	lost in a harem	1-Dec-44	o411
1944	lucky cowboy	11-Feb-44	o412
1944	machine gun mama	18-Aug-44	o413
1944	maisie goes to reno	15-Aug-44	o414
1944	make your own bed	10-Jun-44	o415
1944	man from frisco	15-Jun-44	o416
1944	marked trails	29-Jul-44	o417
1944	marriage is a private affair	23-Aug-44	o418
1944	marshal of reno	2-Jul-44	o419
1944	meatless flyday	29-Jan-44	o420
1944	meet me in st. louis	1-Jan-45	o421
1944	meet the people	11-Jun-45	o422
1944	men on her mind	12-Feb-44	o423
1944	million dollar kid	28-Feb-44	o424
1944	ministry of fear	1-Oct-44	o425
1944	mojave firebrand	19-Mar-44	o426
1944	mouse trouble	17-Oct-44	o427
1944	mr. skeffington	25-May-44	o428
1944	mr. winkle goes to war	19-Jul-44	o429
1944	mrs. parkington	1-Nov-44	o430
1944	murder in the blue room	1-Dec-44	o431
1944	"murder, my sweet"	9-Dec-44	o432
1944	music for millions	18-Dec-44	o433
1944	music in manhattan	20-Aug-45	o434
1944	my best gal	28-Mar-44	o435
1944	my pal wolf	25-Sep-44	o436
1944	mystery of the river boat	24-Oct-44	o437
1944	nabonga	25-Jan-44	o438
1944	no dough boys	24-Nov-44	o439
1944	none shall escape	3-Feb-44	o440
1944	oath of vengeance	9-Dec-44	o441
1944	one body too many	27-Nov-44	o442
1944	one mysterious night	21-Oct-44	o443
1944	outlaws of santa fe	4-Apr-44	o444
1944	pardon my rhythm	1-May-44	o445
1944	passage to marseille	11-Mar-44	o446
1944	passport to destiny	31-Jan-44	o447
1944	patrolling the ether	10-Apr-44	o448
1944	pick a peck of plumbers	23-Jul-44	o449
1944	practically yours	20-Dec-44	o450
1944	pride of the plains	5-Jan-44	o451
1944	radio bugs	1-Apr-44	o452
1944	raiders of ghost city	25-Jul-44	o453
1944	resisting enemy interrogation	1-Jan-45	o454
1944	return of the ape man	17-Jul-44	o455
1944	"roger touhy, gangster"	1-Jul-44	o456
1944	san diego i love you	29-Sep-44	o457
1944	secret command	30-Jul-44	o458
1944	secrets of scotland yard	26-Jul-44	o459
1944	sensations of 1945	30-Jun-44	o460
1944	seven days ashore	18-Jan-46	o461
1944	seven doors to death	16-Aug-44	o462
1944	shadow of suspicion	23-Sep-44	o463
1944	shake hands with murder	22-Apr-44	o464
1944	she's a sweetheart	7-Dec-44	o465
1944	sheriff of las vegas	31-Dec-44	o466
1944	sheriff of sundown	7-Nov-44	o467
1944	silver city kid	20-Jul-44	o468
1944	since you went away	20-Jul-44	o469
1944	"sing, neighbor, sing"	12-Aug-44	o470
1944	ski for two	13-Nov-44	o471
1944	snafuperman	1-Mar-44	o472
1944	song of nevada	5-Aug-44	o473
1944	song of the open road	21-Jun-44	o474
1944	sonora stagecoach	10-Jun-44	o475
1944	spook town	3-Jun-44	o476
1944	springtime for pluto	23-Jun-44	o477
1944	stage door cartoon	30-Dec-44	o478
1944	stagecoach to monterey	15-Sep-44	o479
1944	storm over lisbon	16-Oct-44	o480
1944	sunday dinner for a soldier	8-Dec-44	o481
1944	sweet and low-down	15-Jan-45	o482
1944	swing hostess	8-Sep-44	o483
1944	swing in the saddle	31-Jul-44	o484
1944	swooner crooner	6-May-44	o485
1944	take it big	9-Jun-44	o486
1944	tale of a dog	15-Apr-44	o487
1944	tall in the saddle	29-Sep-44	o488
1944	texas masquerade	8-Feb-44	o489
1944	the 957th day		o490
1944	the battle of china	6-Apr-05	o491
1944	the beach nut	16-Oct-44	o492
1944	the big bonanza	30-Dec-44	o493
1944	the case of the screaming bishop	4-Aug-44	o494
1944	the climax	20-Oct-44	o495
1944	the conspirators	24-Oct-44	o496
1944	the curse of the cat people	14-Oct-44	o497
1944	the doughgirls	25-Nov-44	o498
1944	the eve of st. mark	22-May-44	o499
1944	the falcon out west	19-Mar-45	o500
1944	the falcon in hollywood	8-Dec-44	o501
1944	the falcon in mexico	1-Feb-45	o502
1944	the fighting generation	1-Oct-44	o503
1944	the fighting seabees	10-Jul-44	o504
1944	the girl who dared	5-Aug-44	o505
1944	the great alaskan mystery	25-Apr-44	o506
1944	the great mike	15-Nov-44	o507
1944	the heavenly body	1-Apr-44	o508
1944	the hitler gang	15-Jun-45	o509
1944	the hour before the dawn	22-Sep-44	o510
1944	the impatient years	10-Sep-44	o511
1944	the laramie trail	3-Apr-44	o512
1944	the mark of the whistler	9-Oct-44	o513
1944	the mask of dimitrios	1-Jul-44	o514
1944	the memphis belle: a story of a flying fortress	13-Apr-44	o515
1944	the merry monahans	15-Sep-44	o516
1944	the million dollar cat	14-Apr-44	o517
1944	the miracle of morgan's creek	1-Jan-44	o518
1944	the monster maker	15-Apr-44	o519
1944	the mummy's curse	22-Dec-44	o520
1944	the mummy's ghost	7-Jul-44	o521
1944	the navy way	26-Feb-44	o522
1944	the old grey hare	28-Oct-44	o523
1944	the pearl of death	1-Aug-44	o524
1944	the plastics inventor	1-Sep-44	o525
1944	the price of rendova	6-Jan-44	o526
1944	the princess and the pirate	20-Apr-45	o527
1944	the purple heart	23-Feb-44	o528
1944	the racket man	18-Jan-44	o529
1944	the road to victory	18-May-44	o530
1944	the san antonio kid	16-Aug-44	o531
1944	the scarlet claw	26-May-44	o532
1944	the spider woman	21-Jan-44	o533
1944	the story of dr. wassell	4-Jul-44	o534
1944	the town went wild	15-Dec-44	o535
1944	the weakly reporter	25-Mar-44	o536
1944	the woman in the window	3-Nov-44	o537
1944	the yoke's on me	26-May-44	o538
1944	the zoot cat	13-Feb-44	o539
1944	thirty seconds over tokyo	1-Nov-44	o540
1944	three is a family	23-Nov-44	o541
1944	three little sisters	31-Jul-44	o542
1944	three sisters of the moors	8-Sep-44	o543
1944	tick tock tuckered	8-Apr-44	o544
1944	"tomorrow, the world!"	29-Dec-44	o545
1944	trigger trail	7-Jul-44	o546
1944	trombone trouble	18-Feb-44	o547
1944	tucson raiders	14-May-44	o548
1944	tunisian victory	1-Apr-44	o549
1944	two girls and a sailor	1-Jun-44	o550
1944	uncertain glory	22-Apr-44	o551
1944	vigilantes of dodge city	15-Nov-44	o552
1944	voice in the wind	3-Mar-44	o553
1944	voodoo man	21-Feb-44	o554
1944	weird woman	1-Mar-44	o555
1944	when strangers marry	21-Aug-44	o556
1944	who's who in animal land	2-Dec-44	o557
1944	wild horse phantom	28-Oct-44	o558
1944	wing and a prayer	11-Jan-45	o559
1944	with the marines at tarawa	2-Mar-44	o560
1944	you can't ration love	28-Feb-44	o561
1944	you were never uglier	2-Jun-44	o562
1944	youth runs wild	28-May-45	o563
1944	zorro's black whip	16-Nov-44	o564
1958	a bird in a bonnet	27-Sep-58	o565
1958	a movie	10-Oct-69	o566
1958	a nice little bank that should be robbed	1-Dec-58	o567
1958	a pizza tweety-pie	22-Feb-58	o568
1958	a time to love and a time to die	7-Sep-58	o569
1958	ama girls	9-Jul-58	o570
1958	ambush at cimarron pass	1-Mar-58	o571
1958	andy hardy comes home	1-Jun-59	o572
1958	apache territory	1-Sep-58	o573
1958	as young as we are	1-Sep-58	o574
1958	attack of the 50 foot woman	19-May-58	o575
1958	attack of the puppet people	1-Apr-58	o576
1958	badman's country	2-Aug-58	o577
1958	bell book and candle	19-Dec-58	o578
1958	blood arrow	1-Apr-58	o579
1958	buchanan rides alone	1-Aug-58	o580
1958	cat feud	20-Dec-58	o581
1958	cattle empire		o582
1958	chew chew baby	15-Aug-58	o583
1958	country music holiday	1-Mar-58	o584
1958	cry terror!	2-May-58	o585
1958	curse of the faceless man	1-Aug-58	o586
1958	daddy-o	1-Mar-58	o587
1958	darby's rangers	8-Apr-58	o588
1958	desert hell	25-Jun-58	o589
1958	edge of fury	1-May-58	o590
1958	employees only		o591
1958	escort west	23-Jan-59	o592
1958	everglade raid	24-Jul-58	o593
1958	fifi blows her top	10-Apr-58	o594
1958	flaming frontier	1-Aug-58	o595
1958	flying saucer daffy	9-Oct-58	o596
1958	fort dobbs	6-May-58	o597
1958	frankenstein 1970	20-Jul-58	o598
1958	frankenstein's daughter	15-Dec-58	o599
1958	frontier gun	1-Dec-58	o600
1958	ghost of the china sea	1-Sep-58	o601
1958	giant from the unknown	1-Mar-58	o602
1958	gopher broke	15-Nov-58	o603
1958	gunman's walk	1-Jul-58	o604
1958	half empty saddles	16-Jun-58	o605
1958	happy go ducky	3-Jan-58	o606
1958	hare-less wolf	1-Feb-58	o607
1958	high school hellcats	1-Jun-58	o608
1958	his better elf	19-May-58	o609
1958	hot rod gang	1-Jun-58	o610
1958	i bury the living	1-Jul-58	o611
1958	i married a monster from outer space	1-Oct-58	o612
1958	i married a woman	1-Mar-58	o613
1958	i want to live!	3-Dec-58	o614
1958	imitation general	29-Aug-58	o615
1958	in the money	16-Feb-58	o616
1958	island women	1-May-58	o617
1958	it! the terror from beyond space	1-Aug-58	o618
1958	jet attack	1-Feb-58	o619
1958	johnny rocco	21-Dec-58	o620
1958	king creole	2-Jul-58	o621
1958	let's rock	1-Jun-58	o622
1958	life begins at 17	1-Jul-58	o623
1958	lonelyhearts		o624
1958	"lost, lonely and vicious"		o625
1958	man of the west	1-Nov-58	o626
1958	man or gun	30-May-58	o627
1958	manhunt in the jungle	13-Mar-59	o628
1958	me and the colonel	1-Oct-58	o629
1958	misguided missile	27-Jan-58	o630
1958	missile to the moon	29-Jun-60	o631
1958	murder by contract	1-Dec-58	o632
1958	never love a stranger	22-Jun-58	o633
1958	night of the blood beast	1-Aug-58	o634
1958	"now, hare this"	31-May-58	o635
1958	oil's well that ends well	4-Dec-58	o636
1958	orson welles at large: portrait of gina		o637
1958	outcasts of the city	10-Jan-58	o638
1958	paris holiday	9-May-58	o639
1958	pies and guys	12-Jun-58	o640
1958	pre-hysterical hare	1-Nov-58	o641
1958	psychiatric nursing		o642
1958	queen of outer space	7-Sep-58	o643
1958	quiz whizz	13-Feb-58	o644
1958	"rally 'round the flag, boys!"	1-Feb-59	o645
1958	raw wind in eden	27-Nov-58	o646
1958	ride a crooked trail	1-Sep-58	o647
1958	robin hood daffy	8-Mar-58	o648
1958	saddle the wind	17-Apr-58	o649
1958	seven guns to mesa	16-Mar-58	o650
1958	she demons	1-Jan-58	o651
1958	she gods of shark reef	1-Aug-58	o652
1958	showdown at boot hill	1-May-58	o653
1958	sierra baron	1-Jul-58	o654
1958	space master x-7	1-Jun-58	o655
1958	stakeout on dope street	3-May-58	o656
1958	step down to terror	1-Sep-58	o657
1958	street of darkness	11-Jun-58	o658
1958	submarine seahawk	1-Dec-58	o659
1958	suicide battalion	1-Feb-58	o660
1958	sweet and hot	4-Sep-58	o661
1958	tarzan and the trappers	21-Mar-60	o662
1958	tarzan's fight for life	1-Jul-58	o663
